state,season,max_temp_anomaly,min_temp_anomaly,mean_temp_anomaly,rainfall_avg_mm,rainfall_departure_percent
Queensland,Winter 2019,0.88,0.72,0.8,24.6,-52
New South Wales,Winter 2019,1.44,0.53,0.99,44.5,-62
Victoria,Winter 2019,0.49,0.52,0.51,179.9,-11
Tasmania,Winter 2019,0.36,0.22,0.3,493.7,13
South Australia,Winter 2019,1.06,-0.45,0.31,24.8,-55
Western Australia,Winter 2019,1.64,0.2,0.92,40.5,-33
Northern Territory,Winter 2019,0.73,0.07,0.4,0.6,-97
Queensland,Spring 2019,1.94,0.5,1.23,26.6,-69
New South Wales,Spring 2019,2.6,0.83,1.72,48.5,-61
Victoria,Spring 2019,1.01,-0.25,0.38,110.9,-39
Tasmania,Spring 2019,0.47,-0.37,0.06,292.3,-20
South Australia,Spring 2019,2.46,0.3,1.39,15.4,-70
Western Australia,Spring 2019,3.13,1.02,2.08,14.0,-66
Northern Territory,Spring 2019,1.82,0.46,1.14,22.4,-67
Queensland,Summer 2020,2.33,1.97,2.16,274.1,-16
New South Wales,Summer 2020,2.39,2.28,2.33,150.2,-12
Victoria,Summer 2020,1.04,1.1,1.07,111.9,-6
Tasmania,Summer 2020,0.27,0.32,0.29,218.0,-10
South Australia,Summer 2020,2.05,1.02,1.54,43.3,-30
Western Australia,Summer 2020,1.91,1.38,1.65,155.5,4
Northern Territory,Summer 2020,2.36,1.94,2.15,241.5,-24
Queensland,Autumn 2020,0.52,0.47,0.49,113.8,-30
New South Wales,Autumn 2020,-0.88,0.16,-0.35,163.4,14
Victoria,Autumn 2020,-0.78,-0.07,-0.42,199.7,27
Tasmania,Autumn 2020,-0.8,0.23,-0.28,422.9,24
South Australia,Autumn 2020,0.13,-0.05,0.04,45.9,-18
Western Australia,Autumn 2020,1.43,0.89,1.16,64.7,-28
Northern Territory,Autumn 2020,0.8,0.61,0.71,103.2,-26
