week,count,mean_frp
2019-05-27,1664,29.4
2019-06-03,3923,33.0
2019-06-10,2431,35.0
2019-06-17,4579,34.2
2019-06-24,4429,34.6
2019-07-01,3791,35.8
2019-07-08,3351,36.7
2019-07-15,6112,38.4
2019-07-22,5488,49.3
2019-07-29,3750,39.6
2019-08-05,3568,41.3
2019-08-12,3549,40.8
2019-08-19,3390,43.0
2019-08-26,3025,49.4
2019-09-02,5103,65.7
2019-09-09,6645,62.2
2019-09-16,2616,64.8
2019-09-23,2742,53.1
2019-09-30,5327,79.4
2019-10-07,5645,68.9
2019-10-14,6677,84.2
2019-10-21,7359,81.6
2019-10-28,4051,91.8
2019-11-04,13851,121.0
2019-11-11,13132,79.7
2019-11-18,10175,86.5
2019-11-25,5906,95.9
2019-12-02,17928,82.2
2019-12-09,11481,84.8
2019-12-16,21797,103.6
2019-12-23,13772,106.3
2019-12-30,26539,135.4
2020-01-06,6149,160.5
2020-01-13,3515,52.5
2020-01-20,1354,113.4
2020-01-27,6122,131.7
2020-02-03,2408,133.1
2020-02-10,932,50.5
2020-02-17,480,38.1
2020-02-24,216,34.5
2020-03-02,209,58.4
2020-03-09,586,44.9
2020-03-16,1033,41.2
2020-03-23,1284,47.1
2020-03-30,610,31.8
